1,2,3,4,5,6,7,8,9,10
58,5.528E+16,-2001,3.4713E+16,-1.00E-05,7884012,1E+16,5.568E+16,-1.00012E+16,-82
59,5528,-2008,34712998,9.00E-05,7883999,1000001,5567974,-9.9994E+15,-73
60,5527986,-2,34712996,1.2E+16,7883991,9.99999E+15,5568,-1.00008E+16,-88
61,5527997,-1995,34712995,-1,7883994,1000001,5.568E+16,-99997,-9.7E+15
62,5528011,-1996,34712986,-15,788399,999999,5567994,-100006,-72
63,5527992,-2012,34713006,-1.3E+16,7884007,1E+16,5567995,-9.9996E+15,-82
64,5527985,-1983,34712995,1,788401,10000001,5567986,-99995,-7.6E+15
65,5527997,-1989,3.4713E+16,3.00E+11,7884003,10000007,5567985,-99985,-66
66,5527991,-1.988E+16,34712986,5.00E-05,7883983,1E+16,5568011,-99987,-9.4E+15
67,5.528E+16,-1999,34712982,-3.00E+11,7883995,1E+16,5.568E+16,-99997,-6
68,5528001,-2012,3471299,25,7884003,9999991,5568016,-1.00002E+16,-91
69,5528011,-1994,34712998,-7.00E-05,7883995,10000001,5.568E+15,-9.9994E+15,-93
70,5527998,-1999,34712985,0.0,7883981,1E+16,5.568E+16,-9.9996E+15,-74
71,5.528E+15,-1993,34712996,9.00E-05,7.88399E+15,9999973,5567995,-9.9993E+15,-81
72,5527995,-1986,3.4713E+16,-6.00E+11,7884012,999999,5.56799E+16,-99997,-85
73,5527989,-1995,34712986,6.00E+11,7.88399E+15,100.0,5568014,-100001,-81
74,5.52801E+16,-2002,34712986,-2.00E-05,7.884E+15,9999986,5567991,-9.9983E+15,-8.9E+15
75,5704003,-2.004E+16,34713006,1.2E+16,7.884E+15,1E+16,5.568E+16,-1.00008E+16,-9.2E+15
76,5.70398E+15,-2015,3471297,-14,7883986,1000001,5.568E+16,-9999,-91
77,5.70401E+15,-2001,34713006,-22,7884011,9999991,5568009,-100011,-79
78,5704008,-1986,3.4713E+16,2.00E-05,7884004,10000001,5567997,-99992,-7
79,5.70399E+16,-1989,34712984,-9.00E-05,7.88399E+15,10000016,5.568E+16,-1.00012E+16,-75
80,5.70401E+15,-2002,34712984,-2.00E-05,7.884E+15,9999993,5.568E+16,-100015,-78
81,570399,-1969,34712998,-16,7883999,9999993,5.56801E+16,-99997,-8.7E+15
82,5488,-1996,3.4713E+16,5.00E-05,7.88399E+15,1E+16,5.56801E+16,-1.00002E+16,-85
83,5487998,-2005,34712986,-2.00E-05,7883999,9999986,5568011,-100021,-44
84,5487993,-2008,34712986,-1.3E+16,7883997,9999996,5567994,-99989,-85
85,5.48801E+15,-1.982E+16,3.4713E+16,5.00E-05,7.884E+15,10000014,5567989,-1.00012E+16,-88
86,5487999,-1985,34712981,0.0,7884012,1E+16,556799,-99989,-72
87,5.284E+16,-1998,34712989,-3.00E+11,7884004,10000004,5568003,-100009,-8.3E+15
88,5284007,-1.978E+16,34712986,-4.00E-05,7883989,1E+16,5.568E+15,-100001,-78
89,5284005,-2.006E+16,34712986,0.0,7884008,9999991,5567985,-9.9988E+15,-81
90,5284006,-2027,3471298,-7.00E-05,7884,9999981,5.56799E+16,-100001,-73
91,5.48799E+16,-201,34713003,1.00E-05,7884008,10000009,5568003,-9.9996E+15,-85
92,5487989,-1999,3.4713E+16,9.00E-05,7883999,1E+16,5567975,-9.9986E+15,-78
93,5488,-198,34712997,11,788399,1E+16,5568003,-100024,-8.9E+15
94,5488005,-1994,34712986,8.00E-05,7884004,1000001,5.56799E+16,-1.0,-8.3E+15
95,5488012,-1995,3471299,-2,7883986,10000001,556799,-99979,-7.6E+15
96,5.48799E+15,-199,3471299,9.00E-05,7884013,1E+16,5568005,-9.9991E+15,-67
97,5.48801E+16,-2008,3.4713E+16,-3.00E+11,7884017,999999,5.56801E+16,-100001,-81
98,5487985,-2.013E+16,34712986,-3.00E+11,7883999,9999977,5.568E+15,-100007,-8.3E+15
99,5487993,-2002,34713015,-9.00E-05,7883985,999998,5568025,-99998,-75
100,5487989,-1992,34712995,-2.00E-05,7884,9999985,5567994,-99995,-7.6E+15
101,5.48801E+16,-2002,34712997,-3.00E+11,7883997,10000001,5.56801E+16,-100003,-75
102,5488001,-1.988E+16,34712979,-7.00E-05,7884006,9.99999E+15,556799,-100009,-8.3E+15
103,5487996,-1994,34712977,1.00E-05,7884005,9999981,5.568E+16,-99987,-74
104,5487998,-1984,34712982,-2.00E-05,7883994,9.99999E+15,5567994,-100009,-74
105,5487992,-1991,34713002,-9.00E-05,7883991,9999999,5568005,-100009,-7.1E+15
106,5488001,-1999,34712997,8.00E-05,7884,1E+16,5.568E+16,-99998,-67
107,5.48801E+16,-1993,34712984,2.00E-05,7884013,10000001,5568023,-9.9986E+15,-82
108,5.48801E+16,-1987,3471299,-6.00E+11,7.884E+15,1E+16,5567997,-100005,-79
109,5487984,-1.997E+16,34712997,-1.00E-05,7883999,9999987,5568003,-9999,-84
110,5.69199E+15,-1998,34712994,-3.00E+11,7.884E+15,10000005,5.568E+15,-99995,-8
111,5692004,-2021,34713005,16,7.88399E+15,9999987,5.568E+16,-100003,-75
112,5691984,-2009,34713006,-2.00E-05,7.884E+15,9.99999E+15,5567991,-99998,-66
113,5692014,-1998,34712973,5.00E-05,7.88399E+15,1E+16,5611166,-99995,-7.7E+15
114,5.69199E+15,-2.007E+16,34713004,-4.00E-05,7884011,9999996,5611195,-9.9993E+15,-78
115,5.692E+15,-1.979E+16,34712981,-11,7.884E+15,10000007,5.61118E+16,-99995,-67
116,5.692E+16,-1995,34712992,7.00E-05,7884014,9999996,5611206,-99989,-9.6E+15
117,5491998,-2012,34712985,-3.00E+11,7883984,10000004,5.6112E+16,-9.9996E+15,-9.4E+15
118,549199,-2001,34712989,-16,7883999,1E+16,5.61119E+16,-99992,-74
119,5.27599E+16,-1994,34712975,-1.3E+16,7884011,1E+16,5611218,-9.9999E+15,-8.7E+15
120,5276,-2.003E+16,34712972,11,7884013,10000018,5.6112E+15,-99998,-86
121,5276011,-1991,3471297,-6.00E+11,7883997,10000004,5.6112E+16,-99989,-62
122,5276001,48991,34712998,-16,7884003,10000015,5611198,-1.0,-72
123,5276005,4.8996E+16,3.4713E+16,11,7883997,1E+16,5.6112E+16,-100001,-66
124,5.276E+16,4.9001E+16,3.4713E+16,-6.00E+11,7.884E+15,10000005,5.61122E+15,-99998,-85
125,5.27599E+16,49017,34712996,1.00E-05,7884007,10000016,561119,-100001,-8
126,5276001,48999,34712996,1,7.88399E+15,1E+16,5611198,-9.9996E+15,-7
127,546398,4.8989E+16,34712991,-4.00E-05,7.88399E+15,9.99999E+15,5.61121E+16,-100005,-8.7E+15
128,5.464E+16,4.9001E+16,34713004,-0.0,7.884E+15,10000001,5611185,-9.9996E+15,-6.8E+15
129,5463991,7.00E-05,34712958,-1.00E-05,7883985,1E+16,5.6112E+16,-9.9994E+15,-8.3E+15
130,5.46399E+16,7.00E-05,34712975,-6.00E+11,7884022,10000016,5611198,-99985,-84
131,5464009,1,3.4713E+16,8.00E-05,7884016,9999985,5611195,-9.9988E+15,-75
132,5.46402E+16,-11,34712995,9.00E-05,7884005,1E+16,5611176,-100004,-61
133,5.464E+16,-6.00E+11,34712993,2.00E-05,7884003,1E+16,5.6112E+15,-99998,-72
134,5463998,5.1992E+15,34713013,0.0,7884008,10000013,5611192,-9.9996E+15,-63
135,5463992,52013,34712997,-0.0,7.884E+15,100.0,5611192,-9.9978E+15,-93
136,5463998,5.2009E+15,34712977,9.00E-05,7883984,9999987,5.61119E+16,-1.00018E+16,-79
137,5.464E+15,51994,34712985,-11,7884005,9999985,5611184,-9.9994E+15,-73
138,5.46398E+15,5201,34712985,-8.00E-05,7884005,9999985,5.6112E+16,-9.9994E+15,-8.9E+15
139,5463989,51994,34712994,-8.00E-05,7.884E+15,1000002,5.58598E+15,-100009,-9.4E+15
140,5.46398E+16,51994,3.4713E+16,0.0,7884002,1E+16,5585996,-9.9999E+15,-9
141,5.464E+16,67979,34712995,3.00E+11,7884011,9.99999E+15,5585995,-9.9999E+15,-82
142,5.464E+16,68,3.4713E+16,1.00E-05,7884003,9.99999E+15,5.58599E+16,-99998,-8
143,5463995,67991,34712991,6.00E+11,7884007,1E+16,5585991,-100011,-91
144,5464004,68002,3.4713E+16,5.00E-05,7.88398E+15,1E+16,5.586E+15,-100035,-9.6E+15
145,5464003,67993,3471299,-1.2E+16,7883978,1000001,5585999,-9.9986E+15,-7.1E+15
146,5.46401E+16,14999,34712981,-7.00E-05,7884013,100.0,5586002,-9.9996E+15,-9.7E+15
147,5464009,15006,34713,-1.00E-05,7.88399E+15,9999993,5585994,-9.9994E+15,-8
148,5.464E+15,15014,34712984,-3.00E+11,7.884E+15,10000012,5586003,-9.9999E+15,-75
149,5463995,1502,34713,0.0,7884029,1000001,5585995,-100016,-82
150,5.46399E+15,14998,34712986,9.00E-05,7883985,9999996,5586002,-100003,-109
151,5.464E+15,1.4994E+16,34712993,1.00E-05,7884004,10000005,5585994,-9.9988E+15,-7.1E+15
152,5.46401E+16,14998,34712992,-6.00E+11,7884009,999999,5585986,-9.9999E+15,-81
153,546399,14999,34712969,0.0,7884004,10000004,5586006,-9.9981E+15,-7.7E+15
154,5463994,14991,34713003,-2.4E+16,7883986,1E+16,5585996,-100016,-9.4E+15
155,5463995,14998,34713,18,7884012,10000022,5.58599E+16,-100001,-82
156,5463984,15009,34713005,11,7883985,9999973,5585989,-99992,-73
157,5.46399E+16,15009,34712992,18,7884007,9.99999E+15,5585995,-10001,-56
158,5464017,-1989,3.4713E+16,1.2E+16,7884003,9999999,5585974,-9.9993E+15,-8.7E+15
159,5464003,-2008,34712993,-8.00E-05,7884008,10000005,5585996,-9.9996E+15,-8.7E+15
160,5464001,-2017,34712968,750005,788402,1E+16,5586006,-100005,-8.7E+15
161,5.46401E+16,-2.004E+16,34712989,7.5,7.884E+15,9999991,5.586E+16,-100004,-95
162,546401,-1.997E+16,34713,7.49997E+15,7884011,10000005,558599,-100006,-7.7E+15
163,5464014,-1994,3.4713E+16,749989,7.88399E+15,10000004,5585997,-99997,-9
164,5.46402E+15,-2019,3.4713E+16,749994,7884005,999999,5585995,-9.9999E+15,-79
165,5464015,-2001,34712984,7.49991E+15,7884011,1E+16,5586008,-100011,-81
166,5463991,-2.013E+16,34712982,749995,7883995,9999996,5585999,-100004,-66
167,5463997,-199,34713002,749994,7884006,9999986,5.58599E+16,-99989,-81
168,5463998,-2.007E+16,34712996,7.49992E+16,7.88398E+15,10000005,5585983,-99995,-64
169,546398,-1998,3471299,7.49996E+15,7884005,10000005,5586,-1.00012E+16,-86
170,546399,-2,3471297,750007,7884012,9999982,5585991,-99997,-8.3E+15
171,5464004,-2001,34713,749984,7.884E+15,9999995,5.58601E+15,-9.9994E+15,-6.9E+15
172,5464006,-2016,3471298,74998,7.88399E+15,1000002,5586009,-9.9999E+15,-78
173,546399,-1987,3.4713E+16,750007,7884007,1E+16,5.586E+16,-100013,-8.3E+15
174,5463994,-2012,3.4713E+16,7.49997E+15,7884006,1E+16,5.586E+15,-100005,-7
175,5464001,-1.997E+16,3471299,750007,7884007,9.99999E+15,5586003,-100006,-7.1E+15
176,5464017,-2001,3.4713E+16,7.50001E+16,7.884E+15,1E+16,5585991,-100003,-82
177,5464009,-1.997E+16,3.4713E+16,750015,7884008,9999979,558599,-100013,-72
178,5463992,-2009,34712997,749995,7.88398E+15,1E+16,5586009,-9.9996E+15,-84
179,5.46398E+16,-2008,34712989,74999,7884011,9999999,558599,-100009,-79
180,5464001,-2002,34713009,7.50003E+15,7884003,1E+16,558601,-100007,-7
181,5464003,-1998,3.4713E+16,749987,7883997,10000004,5585995,-100015,-75
182,5464003,-1999,34712989,7.49986E+15,7.88399E+15,10000016,5586002,-100003,-7.7E+15
183,5463998,-198,34712995,7.49999E+16,7.884E+15,9.99999E+15,5586009,-100001,-88
184,546403,-1983,34712981,7.50003E+15,7.88399E+15,9999993,5.58598E+16,-99985,-79
185,5.464E+16,-1992,34712981,749982,788399,1E+16,5.58599E+16,-1.00012E+16,-9.2E+15
186,5.46401E+16,-1996,3.4713E+16,7.49996E+15,7.88399E+15,1E+16,5586005,-1.0,-79
187,5463989,-1995,34712996,7.50008E+16,7883991,100.0,5585969,-99997,-73
188,5464003,-2.007E+16,34712989,750025,7884013,10000004,5586005,-100004,-81
189,5.46403E+16,-2.003E+16,3.4713E+16,7.49996E+15,7883977,10000013,5586009,-100001,-7.7E+15
190,5463997,-2002,34712992,749989,7884004,9999979,5585991,-99987,-61
191,5.46401E+16,-2,34712978,7.49999E+16,7.88399E+15,9999984,558601,-9.9988E+15,-9
192,5463984,-2008,34712982,750012,7884009,1E+16,558599,-100013,-6.9E+15
193,5463989,-1998,34712969,749975,7.884E+15,9999995,5.58598E+15,-9.9994E+15,-7.7E+15
194,5.62401E+16,-1991,34712991,7.49992E+16,7.884E+15,100.0,5586005,-1.0,-88
195,562401,-2009,34712997,749987,7884006,9999991,5.586E+16,-99984,-6.9E+15
196,5.624E+15,-2,34712985,749998,788399,1E+16,5586002,-100011,-85
197,5623984,-2011,3.4713E+16,7.50009E+15,7883986,9999996,5585989,-9.9991E+15,-81
198,5.62399E+16,-2.004E+16,34712994,7.5,7.88399E+15,10000004,5586005,-99998,-9
199,5.41999E+16,-2014,3471298,7.50003E+15,7.884E+15,10000007,5585986,-100014,-62
200,5420001,-2005,34712972,749998,7884023,1E+16,5585989,-9.9994E+15,-7.1E+15
201,5.42001E+15,-2009,34713002,7.49999E+16,7884005,10000001,5586003,-99985,-7
202,541999,-1986,34712989,7.5,7.88399E+15,9999981,5.586E+15,-9.9999E+15,-85
203,54.2,-1987,34712982,74999,7.884E+15,9999983,5.586E+15,-1.00008E+16,-81
204,5419992,-2.004E+16,3.4713E+16,7.49992E+16,7.88399E+15,1E+16,5586002,-9.9993E+15,-85
205,5420001,-201,34712998,749985,7884013,1E+16,5585995,-100007,-75
206,5.41998E+16,-1995,3.4713E+16,7.49997E+15,7884004,10000004,5.58598E+16,-99995,-8.9E+15
207,5420012,-1995,3.4713E+16,749994,7884012,9999982,5585994,-10001,-63
208,5419993,-2016,3.4713E+16,749977,7884004,9999999,5.58599E+16,-9.9999E+15,-7.7E+15
209,5420005,-1987,34712997,7.49999E+16,7883986,1E+16,5585991,-1.00028E+16,-7.7E+15
210,5419986,-1993,34712984,750016,7883997,9999988,5585996,-9.9996E+15,-91
211,5419975,-1984,3.4713E+16,749995,7884,9999996,5.58599E+16,-99998,-78
212,5420018,-201,3.4713E+16,7.49986E+15,7883989,9999987,5586008,-9.9986E+15,-78
213,54.2,-1992,34712986,749998,7.88399E+15,1E+16,5.58598E+16,-99995,-82
214,5631995,-1985,3.4713E+16,750007,7884029,9999999,5586,-99992,-88
215,5632005,-1999,3.4713E+16,7.49991E+15,7884013,10000004,5.58598E+16,-100014,-9.7E+15
216,5632006,-2028,34712969,74998,7.884E+15,9999982,5.58599E+16,-100011,-78
217,5631994,-2,34712979,749994,7901997,1000001,5586002,-99995,-84
218,5631997,-1974,34712984,749998,7902014,1E+16,5.586E+16,-9.9983E+15,-78
219,5631985,-2019,34712991,7.50008E+16,7901996,100.0,5.58598E+16,-100004,-58
220,5631985,-2.007E+16,34712994,7.50009E+15,7902015,1E+16,5585991,-100005,-85
221,563201,-2005,34712984,750002,7901997,10000004,5586002,-99997,-7.1E+15
222,5.63199E+15,-2005,34712986,7.50009E+15,7.902E+15,10000009,5.58599E+16,-99982,-79
223,5428,-2009,34712993,750013,7901995,1E+16,5.58599E+16,-99982,-72
224,5.42798E+15,-1993,34712986,7.49992E+16,7901991,9999999,5585995,-100011,-8.7E+15
225,5.42799E+16,-1994,34712979,7.50003E+15,7901995,1E+16,5585986,-100004,-86
226,5.428E+16,-2001,34712972,7.50008E+16,7901983,1E+16,5.58599E+16,-100001,-6.9E+15
227,5427992,-1984,3.4713E+16,750007,7.90201E+15,1E+16,5.58598E+16,-100019,-91
228,522001,-2.007E+16,3.4713E+16,74999,7902005,9.99999E+15,5.586E+16,-99997,-78
229,5219996,-2.007E+16,34712984,749984,7901993,9999991,5586011,-100025,-74
230,5219992,-2015,3.4713E+16,7.50001E+16,7901995,9.99999E+15,5585995,-9.9993E+15,-72
231,5220013,-2.003E+16,34712982,7.49997E+15,7901996,9999995,5585995,-100001,-86
232,5220005,-2002,34712986,749998,7902001,9999986,5.586E+15,-100001,-75
233,5.432E+15,-2,34712973,750007,7901999,1E+16,5585986,-10001,-75
234,5.43199E+16,-1.988E+16,34712998,750007,7901997,9999995,5.58599E+16,-99995,-74
235,5432011,-2014,34713011,7.49997E+15,7901996,10000004,5.58599E+16,-100003,-75
236,5.432E+16,-2002,34712991,750006,7.90201E+15,1E+16,5.58599E+16,-99982,-73
237,5.43199E+16,-2008,3471299,7.49997E+15,7.90201E+15,9999985,5.58601E+15,-100024,-67
238,5.432E+15,-1.988E+16,34712985,7.49981E+15,7.90201E+15,9999999,5586011,-9.9988E+15,-75
239,5.432E+16,-199,3.4713E+16,7.50014E+15,7902015,9999999,5586017,-99995,-81
240,5431984,-198,34712992,749983,7902006,10000015,5.58599E+16,-10001,-8
241,5568009,-1983,34712981,-249992,7902,9999995,5585991,-100014,-86
242,5.56799E+16,-1.997E+16,34712981,-249994,7901982,9999991,5586002,-99987,-7
243,5567997,-2005,3.4713E+16,-249994,7901993,1E+16,5585983,-9999,-7.6E+15
244,5.56799E+16,-2,3471299,-2.50004E+16,7901997,9999999,5585995,-99995,-8
245,5.568E+15,-2001,34712996,-249992,7902005,9999979,5585997,-100025,-67
246,5568014,-2,34712984,-249985,7901997,1E+16,5585997,-100007,-8.7E+15
247,5368003,-1993,34712989,-249998,7902003,9.99999E+15,5.586E+15,-1.0,-93
248,5.36799E+16,-201,34712993,-250005,7901983,1E+16,5585985,-99979,-8.7E+15
249,5368005,-2002,34712985,-2.50004E+16,7.90197E+15,10000004,5585985,-1.0,-8.7E+15
250,5.36799E+16,-2.004E+16,34712979,-249994,7901988,1E+16,5.58601E+16,-99984,-91
251,5.368E+15,-2001,34712992,-2.50004E+16,7902006,100.0,5586002,-99997,-56
252,5.368E+16,-1.997E+16,34712997,-250001,7.902E+15,9.99999E+15,5.58598E+16,-9.9996E+15,-9.7E+15
253,5368003,-1984,34712993,-250001,7.90198E+15,9999981,558598,-9.9999E+15,-67
254,5571996,-2005,34712978,-249999,7902003,9999986,5.58598E+15,-9.9999E+15,-75
255,5.57201E+16,-2015,3.4713E+16,-250012,790201,9999991,5585997,-99989,-7.6E+15
256,5.57199E+16,-1992,3.4713E+16,-2.50004E+16,7901994,1E+16,5.58599E+16,-100007,-7.1E+15
257,5572002,-1995,34712989,-250002,790199,10000001,5.58598E+16,-1.00002E+16,-8.7E+15
258,5571994,-1993,34712977,-250012,790201,1E+16,5585997,-1.0,-8.7E+15
259,5572006,-1986,34712993,-249988,7901975,10000007,5585991,-1.00008E+16,-79
260,5571982,-199,34712997,-249988,7902002,100.0,5.58599E+16,-9.9993E+15,-8
261,5.57198E+16,-1996,34712997,-250012,7902,1E+16,5586016,-1.00012E+16,-9.4E+15
262,5.572E+16,-2,34712966,-249991,7902014,999999,5585994,-99992,-66
263,5571994,-1993,34712998,-24999,7.884E+15,1E+16,5.58598E+15,-10001,-9.2E+15
264,5571982,-2.004E+16,3.4713E+16,-250002,7884005,9.99999E+15,5.58599E+16,-9.9993E+15,-84
265,5571995,-2005,34712996,-2.50003E+16,7884,9999993,5585989,-9.9986E+15,-93
266,5571976,-1994,34712994,-24998,7883999,9999981,5585997,-100006,-7.7E+15
267,5403989,-198,34712978,-2.50004E+16,7883997,10000004,5.58599E+16,-100009,-64
268,5.404E+15,-2.006E+16,34712985,-250008,7884019,9999999,5585994,-100021,-67
269,5404005,-2.004E+16,34712991,-250001,7883994,1E+16,5586,-9999,-78
270,5.40399E+16,-2014,34713004,-249989,7884015,1E+16,5585989,-100001,-101
271,5403982,-1998,34713015,-2.50004E+16,7883989,9.99999E+15,5.58599E+16,-1.00018E+16,-72
272,5404006,-201,3471298,-249999,7884023,10000004,5585995,-100021,-1.11E+16
273,540401,-2014,34713003,-249992,7883997,9999987,5586023,-9.9999E+15,-81
274,5.404E+15,-1996,34713003,-250005,7884002,1000001,5585996,-100006,-73
275,5403995,-2.013E+16,3.4713E+16,-249989,7.884E+15,10000004,5.58599E+16,-1.00002E+16,-7.7E+15
276,540401,-1989,34713001,-250008,7883989,10000001,5.58599E+16,-100005,-58
277,5403985,-1996,34712982,-249998,7884023,1E+16,5.58598E+15,-99972,-7.6E+15
278,5404006,-2021,3.4713E+16,-250005,7883994,1E+16,5586009,-9.9993E+15,-88
279,5403996,-1996,3.4713E+16,-249995,7884004,10000001,5585999,-100003,-7.1E+15
280,5404014,-2005,34712979,-250012,7884,9999988,5.586E+16,-1.00012E+16,-91
281,5404006,-2.004E+16,3.4713E+16,-24999,7883986,10000012,5586005,-1.0,-79
282,5539996,-2026,34712989,-2.49996E+16,7884008,1E+16,5586002,-99995,-82
283,5539983,-2023,3.4713E+16,-250008,7884005,9999973,5585997,-100013,-84
284,554002,-2.006E+16,34712978,-2.5,7.88399E+15,10000016,5585996,-99997,-84
285,5539988,-2.003E+16,3471297,-249973,7884006,9999999,5.586E+16,-100014,-78
286,553998,-2.004E+16,34713009,-250007,788401,9999996,5.58599E+16,-99987,-79
287,5.54E+16,-2.003E+16,34712992,-250002,7884007,10000026,5585991,-9.9993E+15,-85
288,5.54E+16,-1989,3471298,-250006,7883981,1E+16,5.58601E+15,-9.9994E+15,-81
289,5.54001E+15,-1.988E+16,34712994,-25001,7884005,9.99999E+15,5585999,-1.00008E+16,-79
290,5.54001E+16,-2.006E+16,34713002,-2.5,7884013,9999995,5.58599E+16,-9.9991E+15,-7.6E+15
291,5.53998E+15,-1983,34712969,-249995,7883997,10000001,5586017,-100005,-81
292,5539983,-1986,34712992,-249988,7883983,9999981,5585989,-9999,-9.2E+15
293,5.54E+16,-2002,34712993,-250014,7.88399E+15,10000012,5.586E+16,-100003,-78
294,5335989,-2001,34713001,-250014,788399,10000009,5.58601E+15,-1.00002E+16,-85
