1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
37,5315988,-1.997E+16,3.4713E+16,-2.6E+16,7892995,9.99999E+15,5.568E+16,-99992,-66,8.031E+15,3.229E+16,44153992,289199,9.66999E+15,2529992,10180802,78879987,31164,36995004
38,5.316E+16,-201,34712993,1.3E+16,7892973,10000018,5567983,-1.00012E+16,-7.6E+15,8031003,3228993,44153984,2892005,9669986,2529992,101808,78879987,31164,36995021
39,5.31599E+16,-1995,34713004,-1,7893,9999979,5.568E+16,-9.9999E+15,-9,8.03098E+15,3228992,44153986,2.892E+16,9670002,2530007,1.01808E+16,78879986,311639,3884998
40,5315995,-2008,34712966,1,789301,10000009,5567997,-99997,-73,8.031E+15,3229014,4.4154E+16,289199,9669986,2530001,1.01808E+16,7.888E+15,311647,40599994
41,5.316E+16,-1993,34712981,-6.00E+11,789301,10000013,5.568E+15,-100005,-81,8031009,322899,44153984,289198,9.67E+15,2529992,101808006,788.8,311633,40599979
42,5.31601E+16,-2021,34712997,1.00E-05,7892994,10000009,5.56802E+16,-99985,-7.6E+15,7989021,3.229E+16,44154008,2891998,9669995,2.53E+16,1.01808E+16,78879988,311649,4.06E+16
43,5.31601E+16,-1996,34712993,1.9E+16,7893002,9999995,5.56799E+16,-9.9991E+15,-85,798899,3229003,44153987,289199,9669991,2530011,101808016,78879995,311659,40600017
44,5315996,-2.003E+16,34713009,-4.00E-05,7893,9999993,5.56799E+16,-9.9986E+15,-7.6E+15,7.989E+15,3229011,44153982,289201,9670011,2529994,101808,78879994,311646,38569989
45,5315987,-2.006E+16,3.4713E+16,-6.00E+11,7892992,1E+16,5.56799E+16,-100004,-88,7989012,3228995,44154007,2891998,9.66999E+15,2530003,1.01808E+16,78879985,311636,38569978
46,5315999,-1977,34712982,0.0,7893006,9999985,5.56798E+15,-100009,-6.8E+15,7989005,3228993,44153986,2891987,9669985,2529985,101808012,7887999,311631,38569986
47,5316,-2.003E+16,3471298,1.00E-05,7893009,9999986,556801,-100016,-8.7E+15,7988994,3228986,44154002,2891992,9.67E+15,25.3,1.01808E+16,78879991,311647,38569971
48,5.316E+16,-2019,34712993,14,7.89299E+15,999999,5.56797E+16,-99995,-8.3E+15,7988999,3228994,4.4154E+16,289201,9.66999E+15,2529995,1.01808E+16,7.888E+15,31164,38569989
49,5.31599E+16,-2015,34712993,-3.00E+11,7892995,9999996,5568016,-99997,-78,7.989E+15,322899,44153986,2.89199E+16,9.66999E+15,252999,101808012,79439959,3.11641E+16,38569967
50,5315993,-1998,34712985,-3.00E+11,7892989,9999986,5.568E+15,-1.0,-9.2E+15,7989012,322899,44153988,2891978,9669995,2530004,1.01808E+16,79439991,311643,38569981
51,531599,-1994,3.4713E+16,4.00E-05,7893003,10000004,5567986,-100011,-91,7988985,3.229E+16,4.4154E+16,289202,9670002,2530001,1.01808E+16,79439984,311647,3.857E+16
52,5.31601E+16,-2008,34712993,3.00E+11,7893003,9.99999E+15,5568009,-9.9993E+15,-91,7988996,3229006,44153992,2892,9670008,25.3,101808001,7.944E+15,311634,38569995
53,5.31601E+16,-2001,34712989,-11,7893005,10000016,5.568E+15,-100015,-8.3E+15,798901,3228985,44153988,2.89199E+16,9670004,2530015,101808004,79439959,311647,3856998
54,5315996,-1992,34712986,-1.2E+16,7892984,999999,5567995,-100009,-82,7989005,3229005,44153992,2.892E+16,9.66999E+15,2530005,101808007,79439985,311635,3856998
55,5.31601E+16,-1986,34712994,-1.2E+16,7892992,10000007,5.568E+15,-9.9996E+15,-88,7988993,3229003,4415398,2892006,9.67E+15,2529985,101808004,7.944E+15,311652,3.857E+16
56,5.52801E+15,-2011,3.4713E+16,7.00E-05,7892994,10000004,5568017,-100003,-8.9E+15,7.98901E+15,3.22901E+16,44154,2891992,9669985,2529993,10180802,79439991,311646,38569969
57,5527998,-1.997E+16,34712992,1.00E-05,7.884E+15,10000012,5567983,-9.9996E+15,-98,7.989E+15,3229002,4.4154E+16,289199,9670004,2530001,101807984,7943998,311634,3856998
58,5.528E+16,-2001,3.4713E+16,-1.00E-05,7884012,1E+16,5.568E+16,-1.00012E+16,-82,7.98899E+15,3229016,44153978,2.892E+16,967001,253001,1.01808E+16,79439978,311639,36784979
59,5528,-2008,34712998,9.00E-05,7883999,1000001,5567974,-9.9994E+15,-73,7.98899E+15,3229003,44153968,2892005,9669997,2.53001E+16,101808001,7.944E+15,311646,36784996
60,5527986,-2,34712996,1.2E+16,7883991,9.99999E+15,5568,-1.00008E+16,-88,7989013,3.229E+16,44153984,2892,9670014,252998,1.01808E+16,80255984,311634,36784994
61,5527997,-1995,34712995,-1,7883994,1000001,5.568E+16,-99997,-9.7E+15,7988994,3225999,4.4154E+16,2891988,9669999,25.3,101807995,8025599,311639,36784988
62,5528011,-1996,34712986,-15,788399,999999,5567994,-100006,-72,7989017,3.22599E+16,44154003,2892003,967001,2529995,10180799,80255989,311645,3.6785E+16
63,5527992,-2012,34713006,-1.3E+16,7884007,1E+16,5567995,-9.9996E+15,-82,7.98901E+15,3226001,44153982,2891987,9669996,2529981,10180799,80256002,31164,36784978
64,5527985,-1983,34712995,1,788401,10000001,5567986,-99995,-7.6E+15,7988991,3225998,4.4154E+16,2892005,9669968,2.53001E+16,101808005,8.0256E+15,311647,38569979
65,5527997,-1989,3.4713E+16,3.00E+11,7884003,10000007,5567985,-99985,-66,7988993,3225985,4415398,2892016,9670012,25.3,1.01808E+16,8025598,311625,38569985
66,5527991,-1.988E+16,34712986,5.00E-05,7883983,1E+16,5568011,-99987,-9.4E+15,798902,3225987,4.4154E+16,2891998,9670004,2530012,1.01808E+16,80255992,311631,3.857E+16
67,5.528E+16,-1999,34712982,-3.00E+11,7883995,1E+16,5.568E+16,-99997,-6,7989013,3225997,4.4154E+16,2.89199E+16,9669997,2530019,1.01808E+16,80255995,311639,38569971
68,5528001,-2012,3471299,25,7884003,9999991,5568016,-1.00002E+16,-91,7.98899E+15,3226014,44153978,2892008,9669991,2530011,101808009,80255973,31164,36609999
69,5528011,-1994,34712998,-7.00E-05,7883995,10000001,5.568E+15,-9.9994E+15,-93,7989005,3.226E+16,44153986,2891995,9669999,2.53E+16,101808005,8.0736E+15,3.11641E+16,34789994
70,5527998,-1999,34712985,0.0,7883981,1E+16,5.568E+16,-9.9996E+15,-74,798901,3225998,44154003,2892005,9669986,2.52999E+16,101808004,8.0736E+15,310731,3.479E+16
71,5.528E+15,-1993,34712996,9.00E-05,7.88399E+15,9999973,5567995,-9.9993E+15,-81,7.98901E+15,3.22598E+16,44153988,2892,966999,253001,101808,80735966,310734,34789973
72,5527995,-1986,3.4713E+16,-6.00E+11,7884012,999999,5.56799E+16,-99997,-85,7988977,322601,44153986,2.89201E+16,9669989,252999,1.01808E+16,80735974,310734,37100005
73,5527989,-1995,34712986,6.00E+11,7.88399E+15,100.0,5568014,-100001,-81,7988982,3226001,4.4154E+16,2892002,9670011,252999,101807995,80735972,3.10746E+16,37099995
74,5.52801E+16,-2002,34712986,-2.00E-05,7.884E+15,9999986,5567991,-9.9983E+15,-8.9E+15,798898,3225998,4415399,2892002,9.66999E+15,2.52998E+16,1.01808E+16,80735954,310725,37099983
75,5704003,-2.004E+16,34713006,1.2E+16,7.884E+15,1E+16,5.568E+16,-1.00008E+16,-9.2E+15,7989009,3225996,4.4154E+16,2.892E+16,9660006,2530001,1.01808E+16,8073597,310731,37099982
76,5.70398E+15,-2015,3471297,-14,7883986,1000001,5.568E+16,-9999,-91,798901,3226008,4.4154E+16,2892012,9659996,2529978,1.01808E+16,80735973,3.10726E+16,37099993
77,5.70401E+15,-2001,34713006,-22,7884011,9999991,5568009,-100011,-79,7.98901E+15,3.226E+16,44154003,2.892E+16,9659997,2530009,1.01808E+16,80735965,310732,3884999
78,5704008,-1986,3.4713E+16,2.00E-05,7884004,10000001,5567997,-99992,-7,7988993,3225994,44153989,2891998,9659996,2529995,1.01808E+16,80735957,310745,38849993
79,5.70399E+16,-1989,34712984,-9.00E-05,7.88399E+15,10000016,5.568E+16,-1.00012E+16,-75,7988999,3225992,4.4154E+16,2.892E+16,9659989,2530005,1.01808E+16,81471973,310756,38849996
80,5.70401E+15,-2002,34712984,-2.00E-05,7.884E+15,9999993,5.568E+16,-100015,-78,7988996,3.22601E+16,44153983,2892,9659995,2530013,1.01808E+16,81471975,310737,36994998
81,570399,-1969,34712998,-16,7883999,9999993,5.56801E+16,-99997,-8.7E+15,7988999,3226005,44154008,2.892E+16,96.6,2530003,101808006,81471966,310754,36995009
82,5488,-1996,3.4713E+16,5.00E-05,7.88399E+15,1E+16,5.56801E+16,-1.00002E+16,-85,7.989E+15,3226005,44153987,2.89201E+16,9659997,2530011,1.01808E+16,81471971,310734,38814988
83,5487998,-2005,34712986,-2.00E-05,7883999,9999986,5568011,-100021,-44,7.989E+15,3.22601E+16,44153983,2892003,9659999,253002,1.01808E+16,81471972,310743,38814988
84,5487993,-2008,34712986,-1.3E+16,7883997,9999996,5567994,-99989,-85,798901,3.22598E+16,4.4154E+16,2891998,9659995,253002,1.01808E+16,8.0656E+15,310751,38815011
85,5.48801E+15,-1.982E+16,3.4713E+16,5.00E-05,7.884E+15,10000014,5567989,-1.00012E+16,-88,7.98899E+15,3225997,44153982,2.89199E+16,9660005,2530001,101808,80655973,31075,38814988
86,5487999,-1985,34712981,0.0,7884012,1E+16,556799,-99989,-72,7989005,3.22601E+16,4.4154E+16,2.892E+16,9659992,2529992,1.01808E+16,80655969,310738,3.8815E+16
87,5.284E+16,-1998,34712989,-3.00E+11,7884004,10000004,5568003,-100009,-8.3E+15,7.989E+15,3226014,4.4091E+16,2.892E+16,9660008,2529992,1.01808E+16,80655958,310739,3881499
88,5284007,-1.978E+16,34712986,-4.00E-05,7883989,1E+16,5.568E+15,-100001,-78,7988984,3.22599E+16,4.4091E+16,2891981,9659987,2530002,101808007,79807974,310743,38815001
89,5284005,-2.006E+16,34712986,0.0,7884008,9999991,5567985,-9.9988E+15,-81,7988996,3226005,4.4091E+16,2892002,9659989,2.52999E+16,1.01808E+16,79807974,3.10749E+16,3.8815E+16
90,5284006,-2027,3471298,-7.00E-05,7884,9999981,5.56799E+16,-100001,-73,7989001,322599,4.4091E+16,2892013,9659996,2529999,101808004,79807975,310741,38814973
91,5.48799E+16,-201,34713003,1.00E-05,7884008,10000009,5568003,-9.9996E+15,-85,7988986,3225982,4.4091E+16,2892012,9659991,2530007,1.01808E+16,79807964,3.10729E+16,3.8815E+16
92,5487989,-1999,3.4713E+16,9.00E-05,7883999,1E+16,5567975,-9.9986E+15,-78,7.989E+15,3225985,44090983,2.89199E+16,9.65998E+15,2530014,101808004,79807963,310752,39164972
93,5488,-198,34712997,11,788399,1E+16,5568003,-100024,-8.9E+15,7.98901E+15,3225998,4.4091E+16,2.89199E+16,9660011,250998,1.01808E+16,79807963,310745,39164986
94,5488005,-1994,34712986,8.00E-05,7884004,1000001,5.56799E+16,-1.0,-8.3E+15,798901,3.22603E+16,4.4091E+16,289201,9.66001E+15,2509995,101808001,79807975,310758,37205003
95,5488012,-1995,3471299,-2,7883986,10000001,556799,-99979,-7.6E+15,7989,3226005,4.4091E+16,2.89199E+16,9.65999E+15,2509978,1.01808E+16,7.9808E+15,310748,3.7205E+16
96,5.48799E+15,-199,3471299,9.00E-05,7884013,1E+16,5568005,-9.9991E+15,-67,7988988,3226005,44090982,2.89199E+16,9660001,2.50999E+16,1.01808E+16,79807953,3.13796E+16,37205
97,5.48801E+16,-2008,3.4713E+16,-3.00E+11,7884017,999999,5.56801E+16,-100001,-81,7989001,3225977,44091,289199,9660001,2.51001E+16,101808026,79807975,313804,3.7205E+16
98,5487985,-2.013E+16,34712986,-3.00E+11,7883999,9999977,5.568E+15,-100007,-8.3E+15,7989007,3226013,44090987,2892008,9.66001E+15,2509994,101807971,7980796,313804,3.7205E+16
99,5487993,-2002,34713015,-9.00E-05,7883985,999998,5568025,-99998,-75,7934992,3226003,4.4091E+16,2.89198E+16,9659974,2510001,1.01808E+16,79807947,313817,37204989
100,5487989,-1992,34712995,-2.00E-05,7884,9999985,5567994,-99995,-7.6E+15,7934994,3225996,44090993,2891985,9660015,2509991,101808001,79807971,313808,37204977
101,5.48801E+16,-2002,34712997,-3.00E+11,7883997,10000001,5.56801E+16,-100003,-75,7935008,3225985,44090988,2.89201E+16,9.65999E+15,2509996,1.01808E+16,7.9808E+15,313805,3.7205E+16
102,5488001,-1.988E+16,34712979,-7.00E-05,7884006,9.99999E+15,556799,-100009,-8.3E+15,7934988,3225992,4.4091E+16,2.892E+16,9660007,2510022,101808021,79807964,313804,3.7205E+16
103,5487996,-1994,34712977,1.00E-05,7884005,9999981,5.568E+16,-99987,-74,7934989,3.22599E+16,4.4091E+16,2892022,9659993,2509993,101808006,7980798,313803,37204974
104,5487998,-1984,34712982,-2.00E-05,7883994,9.99999E+15,5567994,-100009,-74,7935006,3225995,4.4091E+16,2891982,9659992,2510005,101808004,7980796,3.13792E+16,37204984
105,5487992,-1991,34713002,-9.00E-05,7883991,9999999,5568005,-100009,-7.1E+15,7934998,3.22599E+16,4.4091E+16,2891974,9.65999E+15,2510005,101808007,79807987,313789,37204984
106,5488001,-1999,34712997,8.00E-05,7884,1E+16,5.568E+16,-99998,-67,7.93501E+15,3225979,4.4091E+16,2.89201E+16,9659992,25.1,101808006,80111991,3.13798E+16,37204989
107,5.48801E+16,-1993,34712984,2.00E-05,7884013,10000001,5568023,-9.9986E+15,-82,7935004,3226013,44090988,2892003,9659993,2509995,1.01808E+16,80111987,313794,38604967
108,5.48801E+16,-1987,3471299,-6.00E+11,7.884E+15,1E+16,5567997,-100005,-79,7935004,322602,4.4091E+16,2892008,9659988,2509984,1.01808E+16,80111995,3.13772E+16,38604989
109,5487984,-1.997E+16,34712997,-1.00E-05,7883999,9999987,5568003,-9999,-84,793499,3226,44090987,2894998,9660004,2.50998E+16,1.01808E+16,80111994,3.10919E+16,38604986
110,5.69199E+15,-1998,34712994,-3.00E+11,7.884E+15,10000005,5.568E+15,-99995,-8,7935003,3226015,4.4091E+16,2.89502E+16,9659998,2.50998E+16,1.01808E+16,80911997,310929,36680005
111,5692004,-2021,34713005,16,7.88399E+15,9999987,5.568E+16,-100003,-75,7934994,3.22599E+16,44090995,2.895E+16,9659993,2510003,10180799,80911987,310893,36679984
112,5691984,-2009,34713006,-2.00E-05,7.884E+15,9.99999E+15,5567991,-99998,-66,7935,3226001,4.4091E+16,2895008,9660008,2.51E+16,10180801,80911999,310917,38464984
113,5692014,-1998,34712973,5.00E-05,7.88399E+15,1E+16,5611166,-99995,-7.7E+15,7934998,3226,4.4091E+16,2895004,9659992,2509998,101808012,8.0912E+15,3.10919E+16,3.8465E+16
114,5.69199E+15,-2.007E+16,34713004,-4.00E-05,7884011,9999996,5611195,-9.9993E+15,-78,7935005,3226,44090993,2.895E+16,9659999,2510003,101808014,8.0912E+15,310908,3.8465E+16
115,5.692E+15,-1.979E+16,34712981,-11,7.884E+15,10000007,5.61118E+16,-99995,-67,7935008,3221009,44090989,2895021,9659985,25.1,101808001,8.0912E+15,310929,38464973
116,5.692E+16,-1995,34712992,7.00E-05,7884014,9999996,5611206,-99989,-9.6E+15,7935005,3220995,4.4091E+16,2894998,9660004,2510002,101808007,80911997,310925,38464983
117,5491998,-2012,34712985,-3.00E+11,7883984,10000004,5.6112E+16,-9.9996E+15,-9.4E+15,8009987,3.221E+16,4409099,2894997,9660006,2509989,101808005,80911985,310933,38464965
118,549199,-2001,34712989,-16,7883999,1E+16,5.61119E+16,-99992,-74,8.00998E+15,3220986,44091005,2.89499E+16,9659996,2509988,1.01808E+16,80911977,312422,36714996
119,5.27599E+16,-1994,34712975,-1.3E+16,7884011,1E+16,5611218,-9.9999E+15,-8.7E+15,800999,3221004,4.4091E+16,2.89501E+16,9660001,2509993,101808014,8.0912E+15,312417,3671497
120,5276,-2.003E+16,34712972,11,7884013,10000018,5.6112E+15,-99998,-86,8009992,3.22099E+16,4409099,2.895E+16,9660003,2.51002E+16,101808013,80015993,3.12424E+16,36714976
121,5276011,-1991,3471297,-6.00E+11,7883997,10000004,5.6112E+16,-99989,-62,8009992,3221007,44090985,2.895E+16,9660006,2.51001E+16,1.01808E+16,80015997,312412,38710008
122,5276001,48991,34712998,-16,7884003,10000015,5611198,-1.0,-72,8.01002E+15,3221009,4.4091E+16,2895004,9659999,2.51001E+16,101811004,80015999,312418,38709991
123,5276005,4.8996E+16,3.4713E+16,11,7883997,1E+16,5.6112E+16,-100001,-66,800999,3221001,4.4091E+16,2.89502E+16,9659994,2509995,101810999,80015995,312413,38709989
124,5.276E+16,4.9001E+16,3.4713E+16,-6.00E+11,7.884E+15,10000005,5.61122E+15,-99998,-85,8009997,3220998,44090993,2895001,9.66001E+15,248999,1.01811E+16,80015975,312413,3.6925E+16
125,5.27599E+16,49017,34712996,1.00E-05,7884007,10000016,561119,-100001,-8,8009999,3221015,44091003,2.89502E+16,9659998,2489995,101810999,80015976,312422,36924985
126,5276001,48999,34712996,1,7.88399E+15,1E+16,5611198,-9.9996E+15,-7,8009985,3220994,4.4091E+16,2894994,9660008,2489994,1.01811E+16,79600003,31242,36924982
127,546398,4.8989E+16,34712991,-4.00E-05,7.88399E+15,9.99999E+15,5.61121E+16,-100005,-8.7E+15,8009995,3.22099E+16,44090988,289501,9659991,2.49E+16,101811003,79599978,312412,3.6925E+16
128,5.464E+16,4.9001E+16,34713004,-0.0,7.884E+15,10000001,5611185,-9.9996E+15,-6.8E+15,8.01001E+15,3221002,44091007,2.895E+16,965999,2490008,1.01811E+16,79599993,31241,38744992
129,5463991,7.00E-05,34712958,-1.00E-05,7883985,1E+16,5.6112E+16,-9.9994E+15,-8.3E+15,8009979,3.221E+16,4.4091E+16,2.89499E+16,9659995,24.9,101811005,79599982,312414,38745004
130,5.46399E+16,7.00E-05,34712975,-6.00E+11,7884022,10000016,5611198,-99985,-84,8009984,3.221E+16,4.4091E+16,2.895E+16,9659993,2.48999E+16,1.01811E+16,79599983,312431,3.8745E+16
131,5464009,1,3.4713E+16,8.00E-05,7884016,9999985,5611195,-9.9988E+15,-75,8009996,3220983,4.4091E+16,2894997,9659995,2490011,1.01811E+16,7959998,3.12441E+16,38745015
132,5.46402E+16,-11,34712995,9.00E-05,7884005,1E+16,5611176,-100004,-61,8010001,3221008,44090993,2894993,9660003,2489998,101811006,7959999,312419,38744992
133,5.464E+16,-6.00E+11,34712993,2.00E-05,7884003,1E+16,5.6112E+15,-99998,-72,8010004,322099,44090985,2894988,9659999,2489999,1.01811E+16,79599977,312406,38744992
134,5463998,5.1992E+15,34713013,0.0,7884008,10000013,5611192,-9.9996E+15,-63,8010005,3221005,4400999,2895008,9659991,2489978,1.01811E+16,7.96E+15,312413,38744976
135,5463992,52013,34712997,-0.0,7.884E+15,100.0,5611192,-9.9978E+15,-93,8.01001E+15,3220991,4.401E+16,2895001,9659998,2490012,101811008,79599969,3.12424E+16,38744999
136,5463998,5.2009E+15,34712977,9.00E-05,7883984,9999987,5.61119E+16,-1.00018E+16,-79,8010002,3.221E+16,4400998,2.895E+16,96.6,2.48999E+16,101810996,79599982,312445,38744991
137,5.464E+15,51994,34712985,-11,7884005,9999985,5611184,-9.9994E+15,-73,8058004,3.221E+16,4.401E+16,2895011,9659987,2490014,1.01811E+16,79599983,312415,38744993
138,5.46398E+15,5201,34712985,-8.00E-05,7884005,9999985,5.6112E+16,-9.9994E+15,-8.9E+15,8.05799E+15,3.221E+16,44009968,2894993,9660003,2.48999E+16,1.01811E+16,7959998,312434,3.8745E+16
139,5463989,51994,34712994,-8.00E-05,7.884E+15,1000002,5.58598E+15,-100009,-9.4E+15,8058004,3220998,4.401E+16,2.895E+16,9659985,2490004,1.01811E+16,79599963,312419,38744997
140,5.46398E+16,51994,3.4713E+16,0.0,7884002,1E+16,5585996,-9.9999E+15,-9,805799,3221018,44010006,2.89501E+16,9660005,2490015,101811,79599967,312419,38745
141,5.464E+16,67979,34712995,3.00E+11,7884011,9.99999E+15,5585995,-9.9999E+15,-82,8058009,3.221E+16,44009988,2.89499E+16,9659995,2489989,101811014,79600003,312422,40634985
142,5.464E+16,68,3.4713E+16,1.00E-05,7884003,9.99999E+15,5.58599E+16,-99998,-8,8058021,322099,4400999,2895,9660006,2489994,101811003,7.96E+15,312438,40634985
